CASSA	SERIE	DATA_ORA	POOL	ID_IMPIANTO	ID_LETTORE
76	20647	04/01/2006 8.29.00	1	176	4
76	20300	04/01/2006 8.29.00	1	176	1
76	20723	04/01/2006 8.29.00	1	176	1
76	20722	04/01/2006 8.29.00	1	176	2
77	21690	04/01/2006 8.29.00	1	176	4
77	21694	04/01/2006 8.29.00	1	176	3
78	9713	04/01/2006 8.29.00	1	176	4
78	9711	04/01/2006 8.29.00	1	176	4
77	21691	04/01/2006 8.29.00	1	176	1
77	21890	04/01/2006 8.29.00	1	176	1
77	21892	04/01/2006 8.29.00	1	176	3
77	21944	04/01/2006 8.29.00	1	176	2
92	40088	04/01/2006 8.29.00	1	176	3
84	22157	04/01/2006 8.29.00	1	176	4
77	21753	04/01/2006 8.29.00	1	176	1
78	9712	04/01/2006 8.29.00	1	176	3
92	40087	04/01/2006 8.29.00	1	176	4
77	21692	04/01/2006 8.29.00	1	176	2
76	20301	04/01/2006 8.29.00	1	176	2
76	20649	04/01/2006 8.29.00	1	176	3
74	47814	04/01/2006 8.30.00	1	176	2
77	17688	04/01/2006 8.30.00	1	176	3
92	37103	04/01/2006 8.31.00	311	176	2
78	9442	04/01/2006 8.32.00	1	176	3
77	21924	04/01/2006 8.35.00	1	176	4
76	17244	04/01/2006 8.35.00	1	176	2
77	21925	04/01/2006 8.35.00	1	176	3
78	9805	04/01/2006 8.36.00	311	176	2
79	20995	04/01/2006 8.37.00	1	176	1
76	20379	04/01/2006 8.37.00	1	176	4
76	20378	04/01/2006 8.37.00	1	176	3
84	22156	04/01/2006 8.37.00	1	176	4
79	20994	04/01/2006 8.37.00	1	176	4
76	20293	04/01/2006 8.37.00	1	176	4
76	20291	04/01/2006 8.37.00	1	176	3
76	20192	04/01/2006 8.38.00	311	176	3
76	20691	04/01/2006 8.38.00	1	176	2
76	20692	04/01/2006 8.38.00	1	176	3
329	61928	04/01/2006 8.38.00	1	176	1
84	22158	04/01/2006 8.38.00	1	176	2
76	20693	04/01/2006 8.38.00	1	176	4
77	20346	04/01/2006 8.39.00	1	176	3
77	20348	04/01/2006 8.39.00	1	176	4
77	20350	04/01/2006 8.39.00	1	176	2
77	20351	04/01/2006 8.39.00	1	176	3
76	20755	04/01/2006 8.40.00	1	176	3
77	20356	04/01/2006 8.40.00	1	176	1
76	20853	04/01/2006 8.40.00	1	176	4
76	20856	04/01/2006 8.40.00	1	176	1
76	20756	04/01/2006 8.40.00	1	176	2
76	20757	04/01/2006 8.40.00	1	176	4
77	22136	04/01/2006 8.40.00	1	176	3
76	20754	04/01/2006 8.40.00	1	176	4
76	20854	04/01/2006 8.40.00	1	176	2
76	20625	04/01/2006 8.41.00	1	176	3
76	20622	04/01/2006 8.41.00	1	176	4
77	21969	04/01/2006 8.41.00	1	176	1
77	21741	04/01/2006 8.41.00	1	176	2
78	9982	04/01/2006 8.42.00	1	176	4
92	40185	04/01/2006 8.42.00	1	176	2
92	37063	04/01/2006 8.42.00	1	176	4
77	21739	04/01/2006 8.42.00	1	176	2
76	20620	04/01/2006 8.42.00	1	176	2
95	1138	04/01/2006 8.42.00	1	176	4
95	1140	04/01/2006 8.42.00	1	176	4
95	1137	04/01/2006 8.42.00	1	176	4
92	40183	04/01/2006 8.42.00	1	176	3
77	22350	04/01/2006 8.42.00	1	176	3
92	40161	04/01/2006 8.42.00	1	176	4
76	20627	04/01/2006 8.42.00	1	176	3
77	21970	04/01/2006 8.42.00	1	176	1
95	1139	04/01/2006 8.42.00	1	176	3
77	20852	04/01/2006 8.43.00	1	176	1
34	43851	04/01/2006 8.43.00	1	176	3
76	20630	04/01/2006 8.43.00	1	176	4
76	20953	04/01/2006 8.43.00	1	176	2
76	20586	04/01/2006 8.43.00	1	176	3
76	20952	04/01/2006 8.43.00	1	176	4
77	21416	04/01/2006 8.44.00	1	176	3
77	22029	04/01/2006 8.45.00	1	176	3
77	20428	04/01/2006 8.45.00	1	176	1
76	19358	04/01/2006 8.45.00	1	176	2
329	61939	04/01/2006 8.45.00	1	176	3
76	20327	04/01/2006 8.45.00	1	176	3
77	21420	04/01/2006 8.45.00	1	176	4
76	20328	04/01/2006 8.45.00	1	176	2
78	9773	04/01/2006 8.45.00	1	176	2
77	21421	04/01/2006 8.46.00	1	176	4
77	21418	04/01/2006 8.46.00	1	176	3
77	22359	04/01/2006 8.47.00	1	176	3
92	40066	04/01/2006 8.47.00	1	176	2
92	40068	04/01/2006 8.47.00	1	176	3
77	22361	04/01/2006 8.47.00	1	176	2
77	22363	04/01/2006 8.47.00	1	176	4
77	20231	04/01/2006 8.48.00	1	176	2
77	21213	04/01/2006 8.48.00	1	176	4
102	22535	04/01/2006 8.48.00	1	176	3
92	40228	04/01/2006 8.48.00	311	176	2
78	9501	04/01/2006 8.48.00	1	176	3
76	20364	04/01/2006 8.48.00	1	176	2
77	22051	04/01/2006 8.48.00	1	176	1
