CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
97,29770,21/02/2006 8.30.00,1,221,3
104,23719,21/02/2006 8.30.00,1,221,4
98,25727,21/02/2006 8.31.00,1,221,4
98,25728,21/02/2006 8.31.00,1,221,3
99,20575,21/02/2006 8.31.00,1,221,4
131,15589,21/02/2006 8.31.00,1,221,3
110,23980,21/02/2006 8.31.00,1,221,4
131,15588,21/02/2006 8.31.00,1,221,4
110,19807,21/02/2006 8.31.00,1,221,4
109,28916,21/02/2006 8.31.00,1,221,3
96,31462,21/02/2006 8.32.00,1,221,2
102,29983,21/02/2006 8.34.00,1,221,2
102,29980,21/02/2006 8.34.00,1,221,2
102,29982,21/02/2006 8.34.00,1,221,3
109,18331,21/02/2006 8.34.00,1,221,3
102,29985,21/02/2006 8.34.00,1,221,4
109,18330,21/02/2006 8.34.00,1,221,4
102,30242,21/02/2006 8.35.00,1,221,2
104,23472,21/02/2006 8.35.00,1,221,3
102,30244,21/02/2006 8.35.00,1,221,4
97,17595,21/02/2006 8.35.00,1,221,3
100,30301,21/02/2006 8.35.00,1,221,3
100,19842,21/02/2006 8.35.00,1,221,4
101,29576,21/02/2006 8.35.00,1,221,2
102,24144,21/02/2006 8.35.00,313,221,4
104,23474,21/02/2006 8.35.00,1,221,2
100,30003,21/02/2006 8.36.00,1,221,4
99,20584,21/02/2006 8.36.00,1,221,4
98,25086,21/02/2006 8.36.00,1,221,1
100,29997,21/02/2006 8.36.00,1,221,4
100,30001,21/02/2006 8.36.00,1,221,3
100,29999,21/02/2006 8.36.00,1,221,2
98,25085,21/02/2006 8.36.00,1,221,1
97,29559,21/02/2006 8.37.00,1,221,2
98,25936,21/02/2006 8.37.00,1,221,2
97,29557,21/02/2006 8.37.00,1,221,1
100,30284,21/02/2006 8.37.00,1,221,3
101,48679,21/02/2006 8.37.00,1,221,4
98,25940,21/02/2006 8.37.00,1,221,2
97,29556,21/02/2006 8.37.00,1,221,3
104,22967,21/02/2006 8.37.00,1,221,4
104,22966,21/02/2006 8.37.00,1,221,4
97,27697,21/02/2006 8.37.00,1,221,1
104,22969,21/02/2006 8.37.00,1,221,3
97,29560,21/02/2006 8.37.00,1,221,2
97,29558,21/02/2006 8.37.00,1,221,2
101,29170,21/02/2006 8.37.00,1,221,2
100,30285,21/02/2006 8.37.00,1,221,4
97,27696,21/02/2006 8.37.00,1,221,3
102,30314,21/02/2006 8.38.00,1,221,4
99,34357,21/02/2006 8.38.00,1,221,4
100,30159,21/02/2006 8.38.00,1,221,2
140,12728,21/02/2006 8.38.00,1,221,2
99,33997,21/02/2006 8.38.00,1,221,2
99,33955,21/02/2006 8.38.00,1,221,2
99,34001,21/02/2006 8.38.00,1,221,4
99,33998,21/02/2006 8.38.00,1,221,3
99,33954,21/02/2006 8.38.00,1,221,2
98,26223,21/02/2006 8.38.00,1,221,3
99,22705,21/02/2006 8.38.00,1,221,4
98,26221,21/02/2006 8.38.00,1,221,4
100,30157,21/02/2006 8.38.00,1,221,1
100,30160,21/02/2006 8.38.00,1,221,2
100,30158,21/02/2006 8.38.00,1,221,3
100,30161,21/02/2006 8.38.00,1,221,2
99,34358,21/02/2006 8.38.00,1,221,2
99,33988,21/02/2006 8.38.00,1,221,3
110,34776,21/02/2006 8.38.00,1,221,3
99,33986,21/02/2006 8.38.00,1,221,3
101,48364,21/02/2006 8.39.00,1,221,4
111,25516,21/02/2006 8.39.00,1,221,3
99,33806,21/02/2006 8.39.00,1,221,2
101,48365,21/02/2006 8.39.00,1,221,4
100,30041,21/02/2006 8.39.00,1,221,3
101,48366,21/02/2006 8.39.00,1,221,4
101,29131,21/02/2006 8.39.00,1,221,2
99,21768,21/02/2006 8.41.00,1,221,4
102,30137,21/02/2006 8.41.00,1,221,3
101,49044,21/02/2006 8.42.00,1,221,3
140,13442,21/02/2006 8.42.00,1,221,4
99,33828,21/02/2006 8.42.00,1,221,2
101,48815,21/02/2006 8.42.00,1,221,4
