CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
92,52240,26/02/2006 8.33.00,1,175,2
92,52242,26/02/2006 8.33.00,1,175,2
92,52190,26/02/2006 8.35.00,1,175,1
91,82808,26/02/2006 8.36.00,311,175,1
92,52244,26/02/2006 8.36.00,1,175,2
74,85766,26/02/2006 8.41.00,1,175,1
74,85767,26/02/2006 8.41.00,1,175,2
74,85765,26/02/2006 8.42.00,1,175,2
74,85768,26/02/2006 8.42.00,1,175,2
71,15069,26/02/2006 8.45.00,1,175,1
71,15068,26/02/2006 8.45.00,1,175,2
104,24080,26/02/2006 8.47.00,1,175,2
72,23578,26/02/2006 8.47.00,1,175,1
104,24082,26/02/2006 8.47.00,1,175,2
104,24078,26/02/2006 8.47.00,1,175,3
102,31421,26/02/2006 8.47.00,1,175,4
72,23580,26/02/2006 8.48.00,1,175,2
72,23577,26/02/2006 8.48.00,1,175,1
73,26029,26/02/2006 8.56.00,1,175,2
73,26673,26/02/2006 8.58.00,1,175,2
73,26677,26/02/2006 8.59.00,1,175,3
91,82811,26/02/2006 8.59.00,1,175,4
91,82812,26/02/2006 8.59.00,1,175,2
73,26675,26/02/2006 9.00.00,1,175,3
75,28874,26/02/2006 9.01.00,1,175,3
34,35564,26/02/2006 9.01.00,1,175,2
91,82568,26/02/2006 9.01.00,1,175,3
91,82825,26/02/2006 9.02.00,1,175,2
74,85761,26/02/2006 9.02.00,1,175,3
75,28875,26/02/2006 9.02.00,1,175,3
80,25332,26/02/2006 9.02.00,1,175,3
91,82826,26/02/2006 9.02.00,1,175,2
73,26087,26/02/2006 9.02.00,1,175,3
74,85764,26/02/2006 9.02.00,1,175,2
75,28876,26/02/2006 9.02.00,1,175,4
73,26088,26/02/2006 9.02.00,1,175,2
80,25331,26/02/2006 9.03.00,1,175,3
71,15205,26/02/2006 9.03.00,1,175,1
71,15206,26/02/2006 9.03.00,1,175,3
71,15376,26/02/2006 9.04.00,1,175,1
77,29887,26/02/2006 9.04.00,1,175,3
71,15375,26/02/2006 9.04.00,1,175,2
74,48088,26/02/2006 9.06.00,1,175,2
74,85503,26/02/2006 9.06.00,1,175,1
88,29835,26/02/2006 9.07.00,1,175,4
74,47795,26/02/2006 9.07.00,1,175,4
88,29833,26/02/2006 9.07.00,1,175,2
88,29834,26/02/2006 9.07.00,1,175,1
88,29829,26/02/2006 9.07.00,1,175,1
74,85948,26/02/2006 9.07.00,1,175,4
88,29831,26/02/2006 9.07.00,1,175,3
75,28773,26/02/2006 9.08.00,1,175,2
73,26160,26/02/2006 9.08.00,1,175,3
75,16945,26/02/2006 9.08.00,1,175,4
75,28388,26/02/2006 9.09.00,314,175,2
71,15229,26/02/2006 9.10.00,311,175,2
74,86218,26/02/2006 9.10.00,1,175,2
73,26551,26/02/2006 9.10.00,1,175,3
71,15228,26/02/2006 9.10.00,311,175,1
74,86216,26/02/2006 9.10.00,1,175,2
71,15227,26/02/2006 9.10.00,311,175,3
71,15256,26/02/2006 9.11.00,1,175,1
74,47892,26/02/2006 9.11.00,1,175,1
74,53402,26/02/2006 9.11.00,1,175,2
73,26352,26/02/2006 9.11.00,1,175,1
75,28428,26/02/2006 9.11.00,1,175,2
71,15255,26/02/2006 9.11.00,1,175,3
73,14776,26/02/2006 9.13.00,1,175,2
75,28332,26/02/2006 9.13.00,1,175,3
91,82500,26/02/2006 9.13.00,311,175,2
75,28333,26/02/2006 9.13.00,1,175,2
73,26591,26/02/2006 9.14.00,1,175,4
73,26595,26/02/2006 9.14.00,1,175,3
73,26593,26/02/2006 9.14.00,1,175,4
74,85829,26/02/2006 9.15.00,1,175,4
75,27784,26/02/2006 9.15.00,1,175,2
75,28474,26/02/2006 9.15.00,1,175,3
73,25931,26/02/2006 9.15.00,1,175,2
74,85828,26/02/2006 9.15.00,1,175,2
75,16729,26/02/2006 9.15.00,1,175,3
75,28867,26/02/2006 9.15.00,1,175,4
72,23236,26/02/2006 9.15.00,1,175,2
75,27783,26/02/2006 9.15.00,1,175,1
72,23238,26/02/2006 9.15.00,1,175,4
75,16863,26/02/2006 9.15.00,1,175,3
201,25482,26/02/2006 9.16.00,1,175,4
71,15450,26/02/2006 9.16.00,1,175,2
71,15451,26/02/2006 9.16.00,1,175,3
71,15452,26/02/2006 9.16.00,1,175,1
201,25480,26/02/2006 9.16.00,1,175,2
71,15453,26/02/2006 9.16.00,1,175,3
343,75374,26/02/2006 9.17.00,1,175,2
343,75373,26/02/2006 9.17.00,1,175,3
79,34005,26/02/2006 9.17.00,1,175,2
73,26655,26/02/2006 9.18.00,1,175,3
91,82891,26/02/2006 9.18.00,311,175,2
91,82627,26/02/2006 9.18.00,311,175,3
79,34007,26/02/2006 9.18.00,1,175,2
91,82626,26/02/2006 9.18.00,311,175,3
91,82892,26/02/2006 9.18.00,311,175,2
74,86251,26/02/2006 9.19.00,1,175,3
74,86249,26/02/2006 9.19.00,1,175,2
79,33882,26/02/2006 9.19.00,1,175,4
79,33881,26/02/2006 9.19.00,1,175,3
41,30787,26/02/2006 9.19.00,1,175,2
79,33886,26/02/2006 9.19.00,1,175,3
41,30784,26/02/2006 9.20.00,1,175,2
75,28319,26/02/2006 9.20.00,1,175,4
75,28562,26/02/2006 9.20.00,1,175,4
75,28560,26/02/2006 9.20.00,1,175,1
72,23561,26/02/2006 9.20.00,311,175,4
72,23560,26/02/2006 9.20.00,311,175,4
75,28564,26/02/2006 9.20.00,1,175,1
75,28563,26/02/2006 9.20.00,1,175,3
75,28320,26/02/2006 9.20.00,1,175,3
75,28318,26/02/2006 9.20.00,1,175,2
72,23315,26/02/2006 9.20.00,1,175,1
75,16717,26/02/2006 9.20.00,1,175,4
72,23317,26/02/2006 9.20.00,1,175,2
72,23314,26/02/2006 9.20.00,1,175,3
79,33884,26/02/2006 9.20.00,1,175,4
72,23302,26/02/2006 9.20.00,1,175,4
72,23319,26/02/2006 9.20.00,1,175,2
75,28317,26/02/2006 9.20.00,1,175,2
72,23312,26/02/2006 9.21.00,1,175,2
72,23562,26/02/2006 9.21.00,311,175,3
86,19153,26/02/2006 9.22.00,1,175,2
76,27759,26/02/2006 9.23.00,1,175,3
213,1736,26/02/2006 9.23.00,1,175,2
213,1738,26/02/2006 9.23.00,1,175,3
72,23134,26/02/2006 9.23.00,1,175,4
72,23132,26/02/2006 9.23.00,1,175,2
213,1737,26/02/2006 9.23.00,1,175,1
85,12723,26/02/2006 9.23.00,1,175,3
76,27760,26/02/2006 9.23.00,1,175,1
85,12725,26/02/2006 9.23.00,1,175,1
85,12724,26/02/2006 9.23.00,1,175,2
94,71337,26/02/2006 9.23.00,1,175,2
83,33902,26/02/2006 9.24.00,1,175,3
213,1702,26/02/2006 9.24.00,1,175,2
203,10584,26/02/2006 9.24.00,1,175,4
73,25999,26/02/2006 9.24.00,1,175,3
74,85702,26/02/2006 9.24.00,1,175,2
203,15365,26/02/2006 9.24.00,1,175,1
85,12589,26/02/2006 9.24.00,1,175,2
203,10583,26/02/2006 9.24.00,1,175,2
85,12595,26/02/2006 9.24.00,1,175,4
85,12596,26/02/2006 9.24.00,1,175,4
74,47887,26/02/2006 9.24.00,311,175,4
74,47864,26/02/2006 9.24.00,311,175,4
85,12590,26/02/2006 9.24.00,1,175,2
74,85703,26/02/2006 9.24.00,1,175,2
73,26000,26/02/2006 9.24.00,1,175,3
91,82899,26/02/2006 9.25.00,1,175,2
74,47856,26/02/2006 9.25.00,1,175,1
91,82565,26/02/2006 9.25.00,314,175,2
91,82458,26/02/2006 9.26.00,1,175,2
208,21869,26/02/2006 9.26.00,1,175,4
208,21872,26/02/2006 9.26.00,1,175,1
208,21870,26/02/2006 9.26.00,1,175,2
91,82461,26/02/2006 9.26.00,311,175,3
208,21871,26/02/2006 9.26.00,1,175,3
71,15440,26/02/2006 9.27.00,1,175,3
71,15441,26/02/2006 9.27.00,1,175,2
71,15439,26/02/2006 9.27.00,1,175,2
75,16792,26/02/2006 9.28.00,1,175,3
91,82462,26/02/2006 9.28.00,311,175,4
91,82441,26/02/2006 9.28.00,1,175,3
87,11034,26/02/2006 9.28.00,1,175,1
91,82445,26/02/2006 9.29.00,1,175,4
75,28758,26/02/2006 9.29.00,1,175,3
41,30814,26/02/2006 9.29.00,1,175,3
41,30816,26/02/2006 9.29.00,1,175,1
75,28757,26/02/2006 9.29.00,1,175,2
87,11033,26/02/2006 9.30.00,1,175,2
78,14335,26/02/2006 9.31.00,1,175,4
72,23329,26/02/2006 9.31.00,1,175,3
72,23321,26/02/2006 9.31.00,1,175,1
72,23332,26/02/2006 9.31.00,1,175,4
72,23320,26/02/2006 9.31.00,1,175,2
78,14334,26/02/2006 9.31.00,1,175,3
72,23330,26/02/2006 9.31.00,1,175,4
74,86142,26/02/2006 9.31.00,1,175,2
72,23323,26/02/2006 9.31.00,1,175,1
72,23070,26/02/2006 9.32.00,1,175,2
72,23069,26/02/2006 9.32.00,1,175,3
73,26418,26/02/2006 9.32.00,1,175,3
75,28540,26/02/2006 9.32.00,1,175,2
72,23075,26/02/2006 9.32.00,1,175,3
71,15065,26/02/2006 9.32.00,1,175,3
74,86134,26/02/2006 9.32.00,1,175,4
74,86132,26/02/2006 9.32.00,1,175,4
74,86143,26/02/2006 9.32.00,1,175,1
71,15264,26/02/2006 9.32.00,1,175,3
74,86144,26/02/2006 9.32.00,1,175,1
71,15066,26/02/2006 9.32.00,1,175,1
41,30823,26/02/2006 9.33.00,1,175,2
41,30819,26/02/2006 9.33.00,1,175,3
41,30798,26/02/2006 9.33.00,1,175,1
41,30822,26/02/2006 9.33.00,1,175,2
41,30811,26/02/2006 9.33.00,1,175,2
73,26093,26/02/2006 9.34.00,1,175,3
73,26095,26/02/2006 9.34.00,1,175,4
208,21857,26/02/2006 9.34.00,1,175,3
73,26091,26/02/2006 9.34.00,1,175,3
75,28449,26/02/2006 9.34.00,1,175,2
75,28448,26/02/2006 9.34.00,1,175,3
73,26089,26/02/2006 9.34.00,1,175,4
208,21858,26/02/2006 9.34.00,1,175,2
208,21856,26/02/2006 9.34.00,1,175,1
213,1714,26/02/2006 9.35.00,1,175,1
85,12688,26/02/2006 9.35.00,1,175,3
213,1717,26/02/2006 9.35.00,1,175,2
201,16321,26/02/2006 9.35.00,1,175,3
203,15293,26/02/2006 9.35.00,1,175,3
213,1715,26/02/2006 9.35.00,1,175,4
84,32326,26/02/2006 9.35.00,1,175,2
52,23518,26/02/2006 9.35.00,1,175,3
83,33980,26/02/2006 9.35.00,1,175,2
213,1716,26/02/2006 9.35.00,1,175,2
203,15294,26/02/2006 9.36.00,1,175,3
91,82486,26/02/2006 9.36.00,1,175,3
105,27373,26/02/2006 9.36.00,1,175,2
85,12686,26/02/2006 9.36.00,1,175,2
72,16322,26/02/2006 9.36.00,311,175,1
105,27377,26/02/2006 9.36.00,1,175,3
105,27374,26/02/2006 9.36.00,1,175,2
91,82485,26/02/2006 9.36.00,1,175,2
91,82487,26/02/2006 9.36.00,1,175,4
83,33979,26/02/2006 9.36.00,1,175,4
105,27375,26/02/2006 9.36.00,1,175,3
85,12687,26/02/2006 9.36.00,1,175,4
91,82488,26/02/2006 9.37.00,1,175,3
73,26854,26/02/2006 9.37.00,1,175,1
41,30347,26/02/2006 9.37.00,1,175,4
73,26857,26/02/2006 9.37.00,1,175,4
73,26206,26/02/2006 9.37.00,1,175,4
91,82491,26/02/2006 9.37.00,1,175,2
59,15008,26/02/2006 9.37.00,1,175,2
91,82492,26/02/2006 9.37.00,1,175,3
41,30245,26/02/2006 9.38.00,1,175,1
72,23347,26/02/2006 9.38.00,1,175,4
73,26210,26/02/2006 9.38.00,1,175,4
72,23346,26/02/2006 9.38.00,1,175,4
73,26178,26/02/2006 9.38.00,1,175,2
41,30388,26/02/2006 9.38.00,1,175,2
41,30353,26/02/2006 9.38.00,1,175,3
41,30367,26/02/2006 9.38.00,1,175,2
71,15404,26/02/2006 9.38.00,314,175,4
75,28740,26/02/2006 9.38.00,1,175,3
41,30350,26/02/2006 9.38.00,1,175,3
41,30236,26/02/2006 9.38.00,1,175,3
72,23556,26/02/2006 9.38.00,1,175,2
41,30235,26/02/2006 9.38.00,1,175,3
73,26180,26/02/2006 9.38.00,1,175,3
73,26852,26/02/2006 9.38.00,1,175,2
41,30394,26/02/2006 9.38.00,1,175,3
73,26856,26/02/2006 9.38.00,1,175,2
41,30374,26/02/2006 9.39.00,1,175,1
41,30272,26/02/2006 9.39.00,1,175,4
41,30259,26/02/2006 9.39.00,1,175,1
41,30359,26/02/2006 9.39.00,1,175,3
41,30371,26/02/2006 9.39.00,1,175,2
41,30267,26/02/2006 9.39.00,1,175,4
41,30289,26/02/2006 9.39.00,1,175,2
74,86319,26/02/2006 9.39.00,1,175,3
41,30274,26/02/2006 9.39.00,1,175,3
41,30286,26/02/2006 9.39.00,1,175,1
71,15405,26/02/2006 9.39.00,1,175,4
71,15378,26/02/2006 9.39.00,1,175,4
41,30278,26/02/2006 9.39.00,1,175,4
71,15377,26/02/2006 9.39.00,1,175,3
41,30261,26/02/2006 9.39.00,1,175,3
41,30280,26/02/2006 9.39.00,1,175,2
41,30238,26/02/2006 9.39.00,1,175,3
74,86323,26/02/2006 9.39.00,311,175,4
41,30264,26/02/2006 9.39.00,1,175,4
41,31068,26/02/2006 9.40.00,1,175,1
91,82909,26/02/2006 9.40.00,1,175,2
41,30356,26/02/2006 9.40.00,1,175,4
41,30241,26/02/2006 9.40.00,1,175,2
73,26388,26/02/2006 9.40.00,1,175,3
41,31066,26/02/2006 9.40.00,1,175,1
73,26702,26/02/2006 9.40.00,1,175,3
73,26704,26/02/2006 9.40.00,1,175,3
41,31052,26/02/2006 9.40.00,1,175,2
91,82752,26/02/2006 9.40.00,1,175,2
41,30391,26/02/2006 9.40.00,1,175,3
91,81800,26/02/2006 9.40.00,1,175,3
73,26212,26/02/2006 9.40.00,1,175,1
41,30368,26/02/2006 9.40.00,1,175,1
